Run,Age_Weeks,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,cite_seq,Collection_Date,condition_detailed_organ,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,exp_name,Experiment,gating_strategy,genetics,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,hashtag_number,immgent_igt_10xlane_id,Instrument,lab,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organ,organ_uberon_id,Organism_name,Organism,Platform,pool_of_mice,prep_description,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,strain,target_cells,tissue,cell_type,infection_agent,infection_dose,infection_mode,timepoint
SRR38588400,8,RNA-Seq,116,58218196,PRJNA1465895,SAMN59796968,20518001,"CBDM, PATHOLOGY, HARVARD MEDICAL SCHOOL",TRUE,missing,spleen_Toxo_D23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Spleen and brain T cells in Toxoplasma gondii infection,SRX33394677,CD45+ CD5+ B220- CD4+ CD44+ AS15-Tet+,wt,uncalculated,uncalculated,missing,HT8,IGT59,Illumina NovaSeq 6000,Bosselut,GSM9735579,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,mouse_0286,Mus musculus,ILLUMINA,FALSE,mechanical dissociation alone,2026-05-18T00:00:00Z,2026-05-13T20:39:00Z,1,GSM9735579,female,spleen,SRP700375,C57BL/6NCrl,CD4+ CD44+ AS15-tet+ T,spleen,T cells,Toxoplasma gondii ME49,10 cysts,oral gavage,23 dpi
SRR38588403,8,RNA-Seq,116,1162912992,PRJNA1465895,SAMN59796971,409154521,"CBDM, PATHOLOGY, HARVARD MEDICAL SCHOOL",TRUE,missing,brain_Toxo_D23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Spleen and brain T cells in Toxoplasma gondii infection,SRX33394674,CD45+ CD5+ B220- CD8a+ CD44+,wt,uncalculated,uncalculated,missing,HT7,IGT59,Illumina NovaSeq 6000,Bosselut,GSM9735576,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,brain,http://purl.obolibrary.org/obo/UBERON_0000955,mouse_0286,Mus musculus,ILLUMINA,FALSE,mechanical dissociation alone,2026-05-18T00:00:00Z,2026-05-13T20:40:00Z,1,GSM9735576,female,brain,SRP700375,C57BL/6NCrl,CD8+ CD44+ T,brain,T cells,Toxoplasma gondii ME49,10 cysts,oral gavage,23 dpi
SRR38588412,8,RNA-Seq,116,489286492,PRJNA1465895,SAMN59796981,172759255,"CBDM, PATHOLOGY, HARVARD MEDICAL SCHOOL",TRUE,missing,spleen_Toxo_D9,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Spleen and brain T cells in Toxoplasma gondii infection,SRX33394665,CD45+ CD5+ B220- CD8a+ CD44+,wt,uncalculated,uncalculated,missing,HT4,IGT59,Illumina NovaSeq 6000,Bosselut,GSM9735567,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,mouse_0285,Mus musculus,ILLUMINA,FALSE,mechanical dissociation alone,2026-05-18T00:00:00Z,2026-05-13T20:40:00Z,1,GSM9735567,female,spleen,SRP700375,C57BL/6NCrl,CD8+ CD44+ T,spleen,T cells,Toxoplasma gondii ME49,10 cysts,oral gavage,9 dpi
SRR38588418,8,RNA-Seq,116,140705564,PRJNA1465895,SAMN59796988,49495139,"CBDM, PATHOLOGY, HARVARD MEDICAL SCHOOL",TRUE,missing,spleen_Toxo_D9,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Spleen and brain T cells in Toxoplasma gondii infection,SRX33394659,CD45+ CD5+ B220- CD4+ CD44+ AS15-Tet+,wt,uncalculated,uncalculated,missing,HT2,IGT59,Illumina NovaSeq 6000,Bosselut,GSM9735561,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,mouse_0285,Mus musculus,ILLUMINA,FALSE,mechanical dissociation alone,2026-05-18T00:00:00Z,2026-05-13T20:39:00Z,1,GSM9735561,female,spleen,SRP700375,C57BL/6NCrl,CD4+ CD44+ AS15-tet+ T,spleen,T cells,Toxoplasma gondii ME49,10 cysts,oral gavage,9 dpi
SRR38588421,8,RNA-Seq,116,2484322004,PRJNA1465895,SAMN59796991,871937696,"CBDM, PATHOLOGY, HARVARD MEDICAL SCHOOL",TRUE,missing,spleen_Toxo_D23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Spleen and brain T cells in Toxoplasma gondii infection,SRX33394656,CD45+ CD5+ B220- CD8a+ CD44+,wt,uncalculated,uncalculated,missing,HT11,IGT59,Illumina NovaSeq 6000,Bosselut,GSM9735558,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,mouse_0286,Mus musculus,ILLUMINA,FALSE,mechanical dissociation alone,2026-05-18T00:00:00Z,2026-05-13T20:45:00Z,1,GSM9735558,female,spleen,SRP700375,C57BL/6NCrl,CD8+ CD44+ T,spleen,T cells,Toxoplasma gondii ME49,10 cysts,oral gavage,23 dpi
SRR38588424,8,RNA-Seq,116,1748765308,PRJNA1465895,SAMN59796994,614884320,"CBDM, PATHOLOGY, HARVARD MEDICAL SCHOOL",TRUE,missing,spleen_Toxo_D23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Spleen and brain T cells in Toxoplasma gondii infection,SRX33394653,CD45+ CD5+ B220- CD4+ CD44+,wt,uncalculated,uncalculated,missing,HT10,IGT59,Illumina NovaSeq 6000,Bosselut,GSM9735555,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,mouse_0286,Mus musculus,ILLUMINA,FALSE,mechanical dissociation alone,2026-05-18T00:00:00Z,2026-05-13T20:45:00Z,1,GSM9735555,female,spleen,SRP700375,C57BL/6NCrl,CD4+ CD44+ T,spleen,T cells,Toxoplasma gondii ME49,10 cysts,oral gavage,23 dpi
SRR38588427,8,RNA-Seq,116,908708156,PRJNA1465895,SAMN59796998,320295187,"CBDM, PATHOLOGY, HARVARD MEDICAL SCHOOL",TRUE,missing,spleen,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Spleen and brain T cells in Toxoplasma gondii infection,SRX33394650,CD45+,wt,uncalculated,uncalculated,missing,HT1,IGT59,Illumina NovaSeq 6000,Bosselut,GSM9735552,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,mouse_0287,Mus musculus,ILLUMINA,FALSE,mechanical dissociation alone,2026-05-18T00:00:00Z,2026-05-13T20:41:00Z,1,GSM9735552,female,spleen,SRP700375,C57BL/6NCrl,splenocytes,spleen,T cells,,,,
SRR38588406,8,RNA-Seq,116,974895668,PRJNA1465895,SAMN59796974,343166960,"CBDM, PATHOLOGY, HARVARD MEDICAL SCHOOL",TRUE,missing,brain_Toxo_D23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Spleen and brain T cells in Toxoplasma gondii infection,SRX33394671,CD45+ CD5+ B220- CD4+ CD44+,wt,uncalculated,uncalculated,missing,HT6,IGT59,Illumina NovaSeq 6000,Bosselut,GSM9735573,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,brain,http://purl.obolibrary.org/obo/UBERON_0000955,mouse_0286,Mus musculus,ILLUMINA,FALSE,mechanical dissociation alone,2026-05-18T00:00:00Z,2026-05-13T20:40:00Z,1,GSM9735573,female,brain,SRP700375,C57BL/6NCrl,CD4+ CD44+ T,brain,T cells,Toxoplasma gondii ME49,10 cysts,oral gavage,23 dpi
SRR38588409,8,RNA-Seq,116,76073032,PRJNA1465895,SAMN59796978,26789218,"CBDM, PATHOLOGY, HARVARD MEDICAL SCHOOL",TRUE,missing,brain_Toxo_D23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Spleen and brain T cells in Toxoplasma gondii infection,SRX33394668,CD45+ CD5+ B220- CD4+ CD44+ AS15-Tet+,wt,uncalculated,uncalculated,missing,HT5,IGT59,Illumina NovaSeq 6000,Bosselut,GSM9735570,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,brain,http://purl.obolibrary.org/obo/UBERON_0000955,mouse_0286,Mus musculus,ILLUMINA,FALSE,mechanical dissociation alone,2026-05-18T00:00:00Z,2026-05-13T20:39:00Z,1,GSM9735570,female,brain,SRP700375,C57BL/6NCrl,CD4+ CD44+ AS15-tet+ T,brain,T cells,Toxoplasma gondii ME49,10 cysts,oral gavage,23 dpi
SRR38588415,8,RNA-Seq,116,1255178580,PRJNA1465895,SAMN59796984,441632268,"CBDM, PATHOLOGY, HARVARD MEDICAL SCHOOL",TRUE,missing,spleen_Toxo_D9,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Spleen and brain T cells in Toxoplasma gondii infection,SRX33394662,CD45+ CD5+ B220- CD4+ CD44+,wt,uncalculated,uncalculated,missing,HT3,IGT59,Illumina NovaSeq 6000,Bosselut,GSM9735564,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,mouse_0285,Mus musculus,ILLUMINA,FALSE,mechanical dissociation alone,2026-05-18T00:00:00Z,2026-05-13T20:40:00Z,1,GSM9735564,female,spleen,SRP700375,C57BL/6NCrl,CD4+ CD44+ T,spleen,T cells,Toxoplasma gondii ME49,10 cysts,oral gavage,9 dpi
