,SRR38588400,SRR38588403,SRR38588406,SRR38588409,SRR38588412,SRR38588415,SRR38588418,SRR38588421,SRR38588424
ENSG00000188976.11,5.78123969485675,5.51989381271537,5.35287480832151,5.35711579670616,5.45657400662163,5.63000881529104,4.64600925219454,5.54237982762719,5.43251171674705
ENSG00000188157.15,4.64600925219454,4.64600925219454,5.29721209452986,4.64600925219454,4.64600925219454,4.64600925219454,4.64600925219454,4.77608778977243,4.7964235689965
ENSG00000127054.22,4.64600925219454,4.83504822465587,4.92560857036488,4.64600925219454,4.95582373114899,4.82323734768669,5.16870699582321,4.93648136112749,5.04289568829173
ENSG00000107404.21,4.64600925219454,4.83504822465587,4.92560857036488,4.64600925219454,5.39781998850652,4.89649053333412,4.64600925219454,4.96409854455109,4.94643106744328
ENSG00000205090.10,4.64600925219454,5.10742054458815,4.92560857036488,5.35711579670616,4.64600925219454,4.82323734768669,4.64600925219454,5.14744414854947,4.90629932885901
ENSG00000248333.9,6.02000663211177,5.79666059532738,6.11548437331058,4.64600925219454,5.33358169958899,5.70105587965104,5.67517081167901,5.7319580464315,5.61450039870388
ENSG00000078369.19,4.64600925219454,5.41679458257548,5.5986826204868,6.02908748519443,5.65484309466347,5.42943460707563,4.64600925219454,5.30379451975154,5.34497824771209
ENSG00000157933.11,4.64600925219454,5.20993501191967,5.12879191686756,5.35711579670616,4.64600925219454,5.17505859068309,4.64600925219454,5.16371743045179,5.04289568829173
ENSG00000069424.16,5.45881653591437,5.06751494040219,4.84387027659339,4.64600925219454,4.64600925219454,4.82323734768669,4.64600925219454,4.64600925219454,4.98174017524336
ENSG00000116237.16,4.64600925219454,5.10742054458815,5.23593904900049,4.64600925219454,5.08331934704844,5.2301790588152,4.64600925219454,5.0561109108736,4.98174017524336
ENSG00000162413.17,4.64600925219454,4.83504822465587,4.64600925219454,4.64600925219454,4.64600925219454,4.64600925219454,4.64600925219454,4.96409854455109,5.04289568829173
ENSG00000171735.21,7.32554543131318,7.09544621188697,6.85658612261521,7.04693136005905,6.2359310716073,6.66385308766918,7.00285354706243,6.83057995080702,6.63421622359309
ENSG00000142599.20,4.64600925219454,5.02328181645907,4.92560857036488,4.64600925219454,5.08331934704844,4.99980118702827,4.64600925219454,4.87115965762943,5.11974529623039
ENSG00000171608.18,4.64600925219454,5.06751494040219,4.84387027659339,4.64600925219454,5.08331934704844,4.99980118702827,4.64600925219454,5.14744414854947,4.98174017524336
ENSG00000130939.20,4.64600925219454,4.97296848053449,4.98818068923828,5.35711579670616,5.26213662168218,5.04131476667413,4.64600925219454,4.82990587964601,4.85863109747101
ENSG00000054523.20,4.64600925219454,4.64600925219454,4.98818068923828,5.35711579670616,5.08331934704844,4.82323734768669,4.64600925219454,4.96409854455109,5.18543376558776
ENSG00000120948.19,4.64600925219454,5.4803465395742,5.32565504044444,5.85454108408583,4.95582373114899,5.48464246719168,5.79091892358591,5.23814098759005,5.37542580607127
ENSG00000198793.14,4.64600925219454,4.97296848053449,4.92560857036488,5.35711579670616,4.64600925219454,5.20333420274887,5.16870699582321,4.82990587964601,4.90629932885901
ENSG00000048707.15,4.64600925219454,5.06751494040219,5.20262473501898,4.64600925219454,4.95582373114899,4.9525931638571,4.64600925219454,5.07598397610967,4.90629932885901
