Ensembel.gene.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000171735.21,73.6248364,-0.571189052,0.283107242,-2.017571318,0.043635926,0.423784816
ENSG00000053372.5,49.69497941,1.653710275,0.432780883,3.821125982,0.000132844,0.071128291
ENSG00000011009.12,188.6066616,-0.428504222,0.209166226,-2.048630078,0.040498301,0.410524885
ENSG00000198830.12,44.11262154,0.808649653,0.404823592,1.997535889,0.045767,0.423784816
ENSG00000090273.14,104.3890923,0.584058988,0.259968696,2.246651219,0.024662326,0.34722259
ENSG00000158161.16,11.90333277,-1.516173787,0.698752996,-2.169827959,0.030019881,0.34722259
ENSG00000084623.12,157.4562316,0.453109976,0.22815188,1.986001498,0.047033158,0.431361245
ENSG00000123091.5,10.98186971,-2.958814,0.868682037,-3.406095527,0.000658991,0.098008077
ENSG00000117226.12,17.14486552,1.553212601,0.656180644,2.367050314,0.017930495,0.328647502
ENSG00000122406.14,28.91720606,1.204852455,0.524223261,2.298357485,0.021541451,0.34722259
ENSG00000162702.8,14.45961373,1.293546279,0.558163841,2.317502827,0.020476357,0.34594266
ENSG00000182004.13,407.3276166,0.38513109,0.175547563,2.193884578,0.028243708,0.34722259
ENSG00000181218.6,1191.392661,1.138316079,0.509667086,2.233450248,0.025519268,0.34722259
ENSG00000115738.10,350.7639481,-0.726014758,0.218552356,-3.321926017,0.000893984,0.098008077
ENSG00000143970.18,12.62077999,-1.57406441,0.615455142,-2.557561557,0.01054089,0.298555208
ENSG00000213553.4,112.0162133,0.656454726,0.262670556,2.49915611,0.012448946,0.312774332
ENSG00000143947.15,18.02430942,0.927381832,0.462732542,2.004142236,0.045054826,0.423784816
ENSG00000138069.18,45.59635922,0.707352504,0.324628006,2.178963278,0.029334396,0.34722259
ENSG00000034510.6,1245.199193,0.54528466,0.164533249,3.314130498,0.000919286,0.098008077
ENSG00000154518.10,472.1490814,0.413671732,0.205034397,2.01757236,0.043635818,0.423784816
ENSG00000082153.18,232.7477948,0.525685071,0.255038813,2.061196355,0.039284311,0.406782706
ENSG00000055044.11,51.83091434,1.020572186,0.386811703,2.638421173,0.008329306,0.292030857
ENSG00000114942.15,98.54998058,0.844395307,0.305584533,2.763213503,0.005723531,0.275588038
ENSG00000163466.16,683.4740816,-0.421765155,0.188933866,-2.232342792,0.025592316,0.34722259
ENSG00000187514.17,45.20817624,0.855720009,0.388391923,2.203238425,0.027577948,0.34722259
ENSG00000237433.1,25.79551983,1.101759966,0.469594157,2.346196072,0.018966127,0.332079647
ENSG00000233597.3,39.75961824,0.755063106,0.344334102,2.192821162,0.028320267,0.34722259
ENSG00000163584.18,76.57001294,0.572884478,0.25946647,2.207932597,0.027248972,0.34722259
ENSG00000118816.11,12.19320318,-1.432175535,0.665621695,-2.151635901,0.031426042,0.34722259
ENSG00000164032.12,796.758945,0.807379233,0.247766368,3.258631259,0.001119511,0.098008077
ENSG00000138795.10,17.69670315,1.094445361,0.44260052,2.472761129,0.013407372,0.314909748
ENSG00000056097.16,93.74582823,-0.617679047,0.253016472,-2.441260213,0.014636104,0.317376768
ENSG00000145592.14,40.50720353,0.693742458,0.340830369,2.035447896,0.041805826,0.419364694
ENSG00000113448.21,16.33205481,-1.450784903,0.462666536,-3.135703123,0.001714427,0.137582733
ENSG00000249353.2,20.54083415,1.22962543,0.473074226,2.599223046,0.009343504,0.296175637
ENSG00000197744.5,123.0881891,0.909599468,0.275707632,3.299145045,0.000969798,0.098008077
ENSG00000081059.20,28.36203795,1.309345955,0.385111946,3.399909999,0.00067408,0.098008077
ENSG00000177733.7,11.80179926,1.553439554,0.776203091,2.001331317,0.045356697,0.423784816
ENSG00000233822.6,35.46784522,0.872381476,0.405696494,2.150330329,0.031529095,0.34722259
ENSG00000274641.2,39.14053362,1.039265278,0.419827683,2.475456762,0.013306587,0.314909748
ENSG00000231500.7,74.7432311,0.81403885,0.274738242,2.962961561,0.003046946,0.217089223
ENSG00000198755.11,75.95754906,0.567571502,0.287941403,1.971135433,0.048708387,0.434316449
ENSG00000124813.23,10.4055317,-1.184487632,0.535419931,-2.212259134,0.026948765,0.34722259
ENSG00000219085.1,15.24168786,1.307265531,0.536536976,2.436487304,0.01483069,0.317376768
ENSG00000156508.19,179.6461925,0.590029028,0.250257099,2.357691474,0.018388969,0.328647502
ENSG00000112237.13,24.67081553,-1.18463386,0.474902005,-2.494480644,0.012614161,0.312774332
ENSG00000136261.16,50.31760004,0.987184077,0.376795103,2.619949328,0.008794283,0.292030857
ENSG00000196715.7,17.1954961,-1.403800624,0.627910577,-2.235669657,0.025373418,0.34722259
ENSG00000179131.7,20.91996757,1.270987818,0.447941782,2.837395098,0.004548329,0.257649461
ENSG00000224415.1,23.83593604,0.85632877,0.424701752,2.016306189,0.043767968,0.423784816
ENSG00000004059.11,209.9679443,-0.524010591,0.217500843,-2.409234755,0.015986012,0.328100521
ENSG00000106462.12,40.49382874,0.781176498,0.363709937,2.147800812,0.031729582,0.34722259
ENSG00000156675.16,11.26043628,-1.230331847,0.563705025,-2.182580946,0.029066684,0.34722259
ENSG00000078668.14,39.2007593,0.874736227,0.401217939,2.180202182,0.029242478,0.34722259
ENSG00000156482.11,439.5093757,0.44083006,0.212842967,2.071151634,0.038344628,0.401368224
ENSG00000123975.5,96.18682687,1.007036751,0.376782043,2.672730213,0.007523673,0.292030857
ENSG00000157303.11,12.30062872,-1.181660287,0.538087917,-2.196035724,0.028089387,0.34722259
ENSG00000136938.9,184.1468287,0.547254227,0.228961554,2.390157726,0.016841139,0.328647502
ENSG00000197958.13,29.15624357,0.931747207,0.366844091,2.539899732,0.011088425,0.305090102
ENSG00000196205.8,160.3160555,0.57638722,0.260214965,2.215042551,0.026757144,0.34722259
ENSG00000237882.1,35.20803788,0.772059437,0.33913881,2.276529297,0.022814349,0.34722259
ENSG00000138166.6,33.2979482,-0.774481292,0.325981809,-2.375842059,0.017508956,0.328647502
ENSG00000234017.1,48.77165784,0.73001002,0.369854827,1.973774483,0.048407391,0.434316449
ENSG00000228169.3,888.0174357,0.367689463,0.154170056,2.384960295,0.017080965,0.328647502
ENSG00000133818.14,23.44404513,1.350772573,0.511318441,2.641744293,0.00824803,0.292030857
ENSG00000227615.1,79.32311778,0.867976351,0.321121172,2.702955849,0.006872587,0.292030857
ENSG00000214391.3,319.9669948,0.742227961,0.252772047,2.936353005,0.003320962,0.217089223
ENSG00000188486.4,24.62798799,0.946156098,0.471758816,2.00559283,0.044899708,0.423784816
ENSG00000151702.18,36.14148896,-0.779079142,0.361061913,-2.157743909,0.030947748,0.34722259
ENSG00000015153.15,17.39880266,-1.037050083,0.433844047,-2.390375275,0.016831165,0.328647502
ENSG00000123416.15,413.045134,0.585344781,0.226103151,2.58883956,0.009629995,0.296175637
ENSG00000167552.16,85.41549853,0.998147968,0.340577702,2.930749615,0.003381452,0.217089223
ENSG00000127314.18,153.1550044,-0.697222586,0.295823455,-2.356887442,0.018428832,0.328647502
ENSG00000058272.19,178.2511709,-0.615075579,0.29082493,-2.114934158,0.034435559,0.372600491
ENSG00000133639.6,214.6963542,-0.520946916,0.229563586,-2.269292465,0.023250546,0.34722259
ENSG00000075415.15,226.8792463,0.405175984,0.201487686,2.010921816,0.044333716,0.423784816
ENSG00000089053.13,18.70532821,1.025447549,0.459370603,2.232288141,0.025595925,0.34722259
ENSG00000132341.12,37.24719978,1.150039255,0.438114606,2.624973556,0.00866557,0.292030857
ENSG00000189403.15,55.95220789,1.066658141,0.413218802,2.581339801,0.009841766,0.296175637
ENSG00000125249.7,100.1478972,-1.020699449,0.388230976,-2.629103578,0.008561028,0.292030857
ENSG00000276168.1,11.28035475,-1.279998476,0.648181079,-1.974754458,0.04829602,0.434316449
ENSG00000072110.16,46.91380629,1.315592314,0.403437103,3.260960144,0.001110356,0.098008077
ENSG00000156127.8,66.62324839,1.128810573,0.402434675,2.80495356,0.005032383,0.26923249
ENSG00000100596.8,23.97461864,-1.021022265,0.474229453,-2.153013187,0.031317642,0.34722259
ENSG00000140153.18,23.70156475,-0.888193693,0.404903198,-2.193595155,0.028264527,0.34722259
ENSG00000182117.7,39.97896373,0.774021528,0.350831661,2.20624765,0.027366665,0.34722259
ENSG00000140280.14,32.11574556,-1.138186563,0.456552915,-2.493000319,0.012666873,0.312774332
ENSG00000140455.17,56.56764934,0.560337214,0.285700239,1.961276671,0.049846757,0.44038924
ENSG00000185716.12,35.51418806,-1.266584914,0.472257525,-2.681979315,0.007318798,0.292030857
ENSG00000090238.12,478.5700658,-0.46412507,0.192693815,-2.408614249,0.016013213,0.328100521
ENSG00000155330.10,27.2212133,-0.991686801,0.474852446,-2.08841043,0.036760827,0.393340854
ENSG00000177200.18,16.28646445,-1.564449792,0.571222825,-2.738773248,0.006166889,0.282795911
ENSG00000103479.17,12.55306534,-1.245153581,0.539774626,-2.306802732,0.02106582,0.34722259
ENSG00000102908.23,11.32976416,-1.320614869,0.598206286,-2.207624526,0.027270458,0.34722259
ENSG00000108953.17,31.99477151,0.980657469,0.382297561,2.565167998,0.010312586,0.298555208
ENSG00000132507.18,871.2987374,0.588481436,0.204141464,2.882713894,0.003942654,0.237298464
ENSG00000278311.5,132.0352766,-0.520071008,0.239239706,-2.173849052,0.029716473,0.34722259
ENSG00000108654.16,340.8349335,-0.399710986,0.194871421,-2.051152421,0.040252106,0.410524885
ENSG00000184557.4,11.64904784,2.680332921,0.706304739,3.79486753,0.000147722,0.071128291
ENSG00000115268.10,30.38582224,0.907456481,0.416125469,2.180728049,0.029203537,0.34722259
ENSG00000105372.8,246.3574545,0.651105243,0.258394333,2.519812392,0.01174174,0.312774332
ENSG00000214612.3,163.2112901,0.493796734,0.237035722,2.083216526,0.037231491,0.393999189
ENSG00000100354.22,79.76242567,-1.137041592,0.324565101,-3.503277428,0.000459571,0.098008077
ENSG00000102054.18,101.7727376,0.527970135,0.241950765,2.182138734,0.029099295,0.34722259
ENSG00000230629.2,143.0385789,0.805505459,0.23191865,3.473224165,0.000514246,0.098008077
ENSG00000147162.15,66.59772284,-0.697969135,0.299097258,-2.333585867,0.019617417,0.337349516
ENSG00000198034.11,653.7401858,0.48269979,0.196347685,2.458393085,0.013956032,0.317376768
ENSG00000126953.8,16.47162736,1.661518634,0.601120451,2.76403611,0.005709122,0.275588038
ENSG00000147274.14,30.95815004,0.96211073,0.394018436,2.441791151,0.014614599,0.317376768
